epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.995,1.3506,1.91626,1.3073,0.71607,0.66157,0.72648,0.43224,1.30415,1.65414,1.2165,0.000472805,0.000472805,0.000472805
2,251.833,1.286,1.25223,1.25288,0.76585,0.78077,0.80115,0.48707,1.28168,1.20561,1.26697,0.000930345,0.000930345,0.000930345
3,435.235,1.28294,1.1642,1.25402,0.73134,0.78334,0.81311,0.48669,1.29421,1.17728,1.25004,0.00136902,0.00136902,0.00136902
4,651.071,1.2699,1.10174,1.25441,0.79969,0.6845,0.71756,0.45272,1.20575,1.01107,1.21374,0.00134412,0.00134412,0.00134412
5,821.113,1.25002,1.04143,1.24773,0.75119,0.75332,0.79947,0.49159,1.27342,1.06365,1.24795,0.00131582,0.00131582,0.00131582
6,976.464,1.23662,0.98772,1.23702,0.77712,0.81385,0.80883,0.51497,1.22032,0.97193,1.22678,0.00128753,0.00128753,0.00128753
7,1117.3,1.21502,0.9623,1.22833,0.8,0.77895,0.84244,0.54616,1.19168,0.91149,1.20391,0.00125923,0.00125923,0.00125923
8,1286.81,1.20609,0.93329,1.22345,0.81033,0.82651,0.85039,0.54518,1.20833,0.87093,1.21891,0.00123094,0.00123094,0.00123094
9,1446.43,1.18074,0.90597,1.2111,0.78337,0.81004,0.8449,0.55218,1.17806,0.88045,1.19848,0.00120265,0.00120265,0.00120265
10,1593.49,1.17015,0.8684,1.20908,0.80927,0.78632,0.84479,0.55406,1.16343,0.88182,1.19506,0.00117435,0.00117435,0.00117435
11,1751.93,1.15166,0.85249,1.19598,0.80542,0.8376,0.86263,0.5623,1.16215,0.83285,1.21297,0.00114606,0.00114606,0.00114606
12,1904.12,1.14512,0.84291,1.19261,0.82374,0.83594,0.86403,0.57597,1.14808,0.80261,1.19267,0.00111776,0.00111776,0.00111776
13,2060.76,1.13688,0.82376,1.19061,0.80336,0.80544,0.84085,0.55233,1.17138,0.86001,1.18776,0.00108947,0.00108947,0.00108947
14,2204.4,1.13842,0.81451,1.18778,0.83028,0.83127,0.8627,0.57007,1.13136,0.80414,1.18787,0.00106118,0.00106118,0.00106118
15,2360.97,1.12094,0.79425,1.17883,0.83819,0.84188,0.8653,0.56769,1.15931,0.7932,1.18584,0.00103288,0.00103288,0.00103288
16,2512.76,1.09946,0.7793,1.1657,0.82044,0.83748,0.87125,0.58234,1.119,0.77795,1.17636,0.00100459,0.00100459,0.00100459
17,2671.4,1.10152,0.77731,1.16886,0.82145,0.82704,0.86081,0.57018,1.15578,0.79818,1.18402,0.000976293,0.000976293,0.000976293
18,2826.87,1.09088,0.76411,1.16312,0.83514,0.85057,0.88083,0.59303,1.09729,0.73697,1.16245,0.000947999,0.000947999,0.000947999
19,2987.16,1.08707,0.75077,1.16498,0.81657,0.8424,0.86962,0.59073,1.11972,0.73813,1.15999,0.000919704,0.000919704,0.000919704
20,3154.54,1.07868,0.73776,1.1621,0.8248,0.83995,0.87583,0.58669,1.1314,0.75014,1.18602,0.00089141,0.00089141,0.00089141
21,3306.02,1.07929,0.74824,1.16498,0.81828,0.85863,0.86888,0.57947,1.11785,0.75529,1.16624,0.000863116,0.000863116,0.000863116
22,3462.54,1.07408,0.72822,1.16036,0.84257,0.84646,0.8783,0.59628,1.11161,0.72704,1.15919,0.000834822,0.000834822,0.000834822
23,3607.77,1.05964,0.70283,1.15053,0.83238,0.84575,0.87952,0.59632,1.10525,0.75805,1.15932,0.000806528,0.000806528,0.000806528
24,3767.36,1.06009,0.71055,1.15179,0.82346,0.8465,0.87473,0.58927,1.10334,0.72907,1.17074,0.000778233,0.000778233,0.000778233
25,3930.85,1.0634,0.70068,1.14982,0.82413,0.85737,0.88329,0.59878,1.10978,0.71723,1.15968,0.000749939,0.000749939,0.000749939
26,4082.61,1.05224,0.69807,1.1506,0.84186,0.84661,0.86829,0.594,1.10193,0.70572,1.15398,0.000721645,0.000721645,0.000721645
27,4235.39,1.04622,0.69676,1.14038,0.83618,0.83856,0.87579,0.60002,1.09128,0.71913,1.15508,0.000693351,0.000693351,0.000693351
28,4390.88,1.02457,0.67674,1.12946,0.85571,0.85457,0.88614,0.60307,1.08295,0.67474,1.1531,0.000665057,0.000665057,0.000665057
29,4534.99,1.02133,0.66866,1.13078,0.83524,0.84663,0.87686,0.59805,1.10146,0.71878,1.16056,0.000636762,0.000636762,0.000636762
30,4693.12,1.01874,0.66272,1.12778,0.84709,0.85486,0.88694,0.60399,1.10182,0.67754,1.16421,0.000608468,0.000608468,0.000608468
