epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3711,0,62.3479,0,0,0,0,0,0,72.8501,0,0.000472805,0.000472805,0.000472805
2,135.333,0,37.5568,0,0,0,0,0,0,161370,0,0.000930345,0.000930345,0.000930345
3,195.376,0,16.3305,0,0,0,0,0,0,12.3263,0,0.00136902,0.00136902,0.00136902
4,256.869,0,4.71795,0,0,0,0,0,0,3.361,0,0.00134412,0.00134412,0.00134412
5,324.592,0,0.90782,0,0,0,0,0,0,0.45797,0,0.00131582,0.00131582,0.00131582
6,391.854,0,0.11776,0,0,0,0,0,0,0.04893,0,0.00128753,0.00128753,0.00128753
7,456.418,0,0.01216,0,0,0,0,0,0,0.00959,0,0.00125923,0.00125923,0.00125923
8,526.053,0,0.0054,0,0,0,0,0,0,0.0048,0,0.00123094,0.00123094,0.00123094
9,592.293,0,0.00044,0,0,0,0,0,0,0.00017,0,0.00120265,0.00120265,0.00120265
10,659.118,0,0,0,0,0,0,0,0,9e-05,0,0.00117435,0.00117435,0.00117435
11,725.5,0,0,0,0,0,0,0,0,0.00018,0,0.00114606,0.00114606,0.00114606
12,792.395,0,0,0,0,0,0,0,0,0.05405,0,0.00111776,0.00111776,0.00111776
13,861.047,0,0,0,0,0,0,0,0,2e-05,0,0.00108947,0.00108947,0.00108947
14,927.898,0,0,0,0,0,0,0,0,2e-05,0,0.00106118,0.00106118,0.00106118
15,1004.52,0,0,0,0,0,0,0,0,7e-05,0,0.00103288,0.00103288,0.00103288
16,1093.88,0,0,0,0,0,0,0,0,5e-05,0,0.00100459,0.00100459,0.00100459
17,1179.24,0,0,0,0,0,0,0,0,0.00011,0,0.000976293,0.000976293,0.000976293
18,1251.86,0,0,0,0,0,0,0,0,3e-05,0,0.000947999,0.000947999,0.000947999
19,1320.93,0,0,0,0,0,0,0,0,2e-05,0,0.000919704,0.000919704,0.000919704
20,1391.09,0,0,0,0,0,0,0,0,0,0,0.00089141,0.00089141,0.00089141
21,1463.39,0,0,0,0,0,0,0,0,0,0,0.000863116,0.000863116,0.000863116
22,1531.24,0,0,0,0,0,0,0,0,0,0,0.000834822,0.000834822,0.000834822
23,1601.48,0,3e-05,0,0,0,0,0,0,0,0,0.000806528,0.000806528,0.000806528
24,1671.6,0,0,0,0,0,0,0,0,0,0,0.000778233,0.000778233,0.000778233
25,1740.1,0,0,0,0,0,0,0,0,0,0,0.000749939,0.000749939,0.000749939
26,1809.63,0,0,0,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
27,1878.66,0,0,0,0,0,0,0,0,0,0,0.000693351,0.000693351,0.000693351
28,1948.41,0,0,0,0,0,0,0,0,0,0,0.000665057,0.000665057,0.000665057
29,2019.61,0,0,0,0,0,0,0,0,0,0,0.000636762,0.000636762,0.000636762
30,2089.24,0,0,0,0,0,0,0,0,0,0,0.000608468,0.000608468,0.000608468
31,2172.34,0,0,0,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
32,2257.91,0,0,0,0,0,0,0,0,0,0,0.00055188,0.00055188,0.00055188
33,2344.61,0,0,0,0,0,0,0,0,0,0,0.000523586,0.000523586,0.000523586
34,2433.98,0,0,0,0,0,0,0,0,0,0,0.000495291,0.000495291,0.000495291
35,2523.74,0,0,0,0,0,0,0,0,0,0,0.000466997,0.000466997,0.000466997
36,2609.37,0,0,0,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
37,2698.54,0,0,0,0,0,0,0,0,0,0,0.000410409,0.000410409,0.000410409
38,2790.05,0,0,0,0,0,0,0,0,0,0,0.000382115,0.000382115,0.000382115
39,2878.13,0,0,0,0,0,0,0,0,0,0,0.00035382,0.00035382,0.00035382
40,2946.91,0,0,0,0,0,0,0,0,0,0,0.000325526,0.000325526,0.000325526
41,3015.91,0,0,0,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
42,3084.54,0,0,0,0,0,0,0,0,0,0,0.000268938,0.000268938,0.000268938
43,3153.72,0,0,0,0,0,0,0,0,0,0,0.000240644,0.000240644,0.000240644
44,3231.97,0,0,0,0,0,0,0,0,0,0,0.000212349,0.000212349,0.000212349
45,3301.55,0,0,0,0,0,0,0,0,0,0,0.000184055,0.000184055,0.000184055
46,3369.4,0,0,0,0,0,0,0,0,0,0,0.000155761,0.000155761,0.000155761
47,3436.82,0,0,0,0,0,0,0,0,0,0,0.000127467,0.000127467,0.000127467
48,3504.43,0,0,0,0,0,0,0,0,0,0,9.91726e-05,9.91726e-05,9.91726e-05
49,3572.23,0,0,0,0,0,0,0,0,0,0,7.08784e-05,7.08784e-05,7.08784e-05
50,3652.82,0,0,0,0,0,0,0,0,0,0,4.25842e-05,4.25842e-05,4.25842e-05
